s	SAMD00115015	SAMD00115025	SAMD00115027	SAMD00114971	SAMD00114968	SAMD00114970	SAMD00115016	SAMD00115017	SAMD00115019	SAMD00115023	SAMD00114973	SAMD00115018	SAMD00115022	SAMD00114997	SAMD00115032	SAMD00114998	SAMD00114995	SAMD00114996	SAMD00115033	SAMD00114736	SAMD00114745	SAMD00114747	SAMD00114832	SAMD00114741	SAMD00114833	SAMD00114757	SAMD00114834	SAMD00114815	SAMD00114974	SAMD00114979	SAMD00114769	SAMD00114770	SAMD00114771	SAMD00114975	SAMD00114773	SAMD00114718	SAMD00114976	SAMD00114977	SAMD00114719	SAMD00114720	SAMD00114721	SAMD00114984	SAMD00114800	SAMD00114982	SAMD00114795	SAMD00114986	SAMD00114796	SAMD00114987	SAMD00114798	SAMD00114989	SAMD00114990	SAMD00114991	SAMD00114992	SAMD00114780	SAMD00114781	SAMD00114994	SAMD00114778	SAMD00114779	SAMD00114730	SAMD00115001	SAMD00114734	SAMD00115002	SAMD00115003	SAMD00115004	SAMD00114789	SAMD00114791	SAMD00114792	SAMD00114783	SAMD00114784	SAMD00115008	SAMD00114785	SAMD00115009	SAMD00115005	SAMD00115012	SAMD00114819	SAMD00114807	SAMD00114809	SAMD00114812	SAMD00114829	SAMD00114830	SAMD00114862	SAMD00114858	SAMD00114824	SAMD00114818	SAMD00114842	SAMD00114843	SAMD00114845	SAMD00114850	SAMD00114865	SAMD00114867	SAMD00114869	SAMD00114854	SAMD00114859	SAMD00114837	SAMD00114838	SAMD00114860	SAMD00114926	SAMD00114888	SAMD00114889	SAMD00114872	SAMD00114873	SAMD00114938	SAMD00114929	SAMD00114874	SAMD00114932	SAMD00114940	SAMD00114895	SAMD00114876	SAMD00114942	SAMD00114898	SAMD00114908	SAMD00114918	SAMD00114950	SAMD00114913	SAMD00114953	SAMD00114945	SAMD00114880	SAMD00114959	SAMD00114899	SAMD00114881	SAMD00114882	SAMD00114900	SAMD00114901	SAMD00114963	SAMD00114885	SAMD00114906	SAMD00114967	SAMD00136653	SAMD00164727	SAMD00164729	SAMD00164748	SAMD00154991	SAMD00164756	SAMD00164758	SAMD00154992	SAMD00136648	SAMD00164773	SAMD00164774	SAMD00164803	SAMD00164805	SAMD00164806	SAMD00164809	SAMD00164814	SAMD00164819	SAMD00164823	SAMD00164824	SAMD00164825	SAMD00164827	SAMD00164828	SAMD00164833	SAMD00164835	SAMD00164837	SAMD00164840	SAMD00164848	SAMD00164849	SAMD00164853	SAMD00164855	SAMD00164856	SAMD00164862	SAMD00164865	SAMD00164870	SAMD00164873	SAMD00164877	SAMD00164878	SAMD00164879	SAMD00164881	SAMD00164882	SAMD00164886	SAMD00164888	SAMD00164890	SAMD00164891	SAMD00164895	SAMD00164896	SAMD00164897	SAMD00164898	SAMD00164899	SAMD00164901	SAMD00164902	SAMD00164904	SAMD00164908	SAMD00164909	SAMD00164911	SAMD00164914	SAMD00164915	SAMD00164916	SAMD00164917	SAMD00164918	SAMD00164920	SAMD00164923	SAMD00164926	SAMD00164927	SAMD00164929	SAMD00164930	SAMD00164931	SAMD00164933	SAMD00164934	SAMD00164935	SAMD00164936	SAMD00164938	SAMD00164939	SAMD00164941	SAMD00164947	SAMD00164949	SAMD00164950	SAMD00164951	SAMD00164952	SAMD00164953	SAMD00164954	SAMD00164955	SAMD00164956	SAMD00164957	SAMD00164958	SAMD00164960	SAMD00164961	SAMD00164962	SAMD00164963	SAMD00164964	SAMD00164965	SAMD00164966	SAMD00164967	SAMD00164969	SAMD00164972	SAMD00164973	SAMD00164983	SAMD00164986	SAMD00164996	SAMD00164999	SAMD00165001	SAMD00165004	SAMD00165008	SAMD00165010	SAMD00165015	SAMD00165020	SAMD00165021	SAMD00165022	SAMD00165023	SAMD00165024	SAMD00165025	SAMD00165026	SAMD00165027	SAMD00165028	SAMD00165029	SAMD00165030	SAMD00165031	SAMD00165032	SAMD00165033
s__Eubacterium_sp_OM08_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000790	0	0	0	0	0	0	0	0	0	0	0.012943	0	0	0	0	0	0	0	0	0	0.505501	0	0	0	0	0	0	0	0	0	0.000390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Eubacterium_sulci	0	0.000400	0	0	0	0.003100	0	0	0	0	0	0.006107	0.005470	0.012880	0.004480	0.002270	0	0	0.013097	0	0.483264	0.009990	0	0	0	0	0	0.021560	0.009050	0	0	0	0	0	0	0	0	0	0	0.085423	0	0	0.003553	0	0	0	0	0	0	0.002001	0	0	0	0.011772	0	0.001540	0	0	0	0.000560	0	0.202440	0	0	0	0	0.007790	0.000880	0	0	0	0	0	0	0.118768	0	0	0.006321	0	0	0.000180	0.004960	0	0	0	0	0.002051	0.012290	0	0	0	0.008290	0	0	0	0.001400	0.004391	0	0	0	0	0	0	0	0	0.000070	0	0	0.003190	0	0	0	0	0.000150	0.062363	0	0.012138	0	0	0.005300	0	0	0	0	0	0	0.000590	0	0	0	0	0	0.065837	0	0.002382	0	0	0	0.005990	0	0.004360	0	0.004210	0	0.003310	0.014190	0	0	0	0	0.023990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002620	0	0.007360	0.008303	0	0	0	0	0	0.035244	0	0	0.008347	0	0.060110	0.001640	0	0	0	0	0	0	0	0	0	0.000440	0.000690	0.001740	0	0	0	0.028372	0	0.005250	0	0	0	0.015235	0.012320	0	0	0.006030	0	0.003990	0.021061	0.004740	0.000640	0	0	0	0	0.000620	0	0	0	0	0	0	0	0	0	0.004140	0	0	0	0	0	0	0	0	0.002230	0.000840	0	0	0	0	0.004603	0	0.000420	0.000320
s__Eubacterium_ventriosum	0.152516	0.745978	0.607074	0.262541	0	0	0.037911	0	0.025277	0.113724	0.344116	0.015668	0	0.032020	0	0	0.151530	0.069570	0	0	0	0.389000	0	0.014182	0.232410	0.045871	0	0	0.184760	0.422308	0.005250	0.028253	0.182577	0.162752	0.220786	0	0.021764	0	0.433644	0	0.021781	0	0	0	0.086981	0.091510	0	0.238129	0	1.416443	0.840435	0	0.133054	0	0.147961	0	0	0.097630	0.370244	0.614620	0.227490	0	0.235180	0.032996	0.697548	0.247390	0.553930	0	0.020950	0.145022	1.218700	0.152477	0	0.686350	0	0.125416	0	0.056635	0	0	0.941291	0	0	0.042302	0	0.141300	0.113175	0	0	0.342381	0	0	0	0	0	0.178160	0.235690	0.112578	0	0	0.126080	0	0	0	0	0	0.196557	0.052055	0	0.045339	0.112596	0	0	0	0.037912	0	0.009191	0	0	0	0.067360	0.022016	0	0.125556	0.777270	0.257010	0	0	0	0	0.275010	0	0.101001	0	0	0.032335	0	0	0.205181	0.255000	0.214112	0	0	0	0	0.631833	0.254292	0	0	0.346530	0	0.034422	0	0.006790	0.019001	0.036200	0	0	0	0.326017	0	0	0.033450	0.618312	0.166173	0	0.127578	0	0	0	0.011662	0	0.134462	0.000680	0.046531	0.598342	0.285880	0.148986	0	0.126820	0	0.384700	0.058300	0.025555	0.723289	0	0	0.694880	0.242446	0	0.007240	0.315272	0.264185	0.386608	0.207553	0	0.025937	0.108978	0.269090	0	0.006070	0.524062	0.285183	0	0.541804	0	0	0	0.006291	0	0.022831	0.349251	0.164189	0.621658	0.264398	0	0.525410	0.307117	0	0	0.081800	0	0	0.032738	0	0.814170	0.709820	0	0	0.012800	0.039240	0.827484	0.566250	0.065195	0.627029	0	0.059155	1.017162	0	0	0	0	0.010717	0.138580	0.029611	0
s__Faecalibacterium_prausnitzii	1.120221	8.363065	2.481930	4.472311	0.084648	1.685911	2.218074	7.681672	7.560326	6.584318	6.628556	1.899727	9.886805	1.870000	2.218910	0.093598	4.879850	6.388920	0.002403	5.524778	1.237962	7.283708	5.028872	5.073701	3.143841	4.250534	1.123876	0	0.685850	6.838301	1.864687	4.658658	9.149905	2.076126	2.573435	4.369107	9.319080	6.111104	4.326710	9.090455	1.044843	0.176531	2.377135	0	8.755388	2.354890	0.039601	1.666072	4.825821	1.786541	3.752308	2.868412	0.090390	4.149120	4.479393	0	0.615988	13.131641	5.628010	9.000666	7.322899	2.596001	6.703520	7.349758	11.658597	6.418781	3.545561	0.933195	2.681679	3.271169	6.135669	6.647466	4.825460	8.853063	2.042462	9.915973	5.972022	5.948286	8.066270	4.527863	10.080340	0.427181	0	5.885448	2.452350	4.873252	1.962236	3.339339	0	6.830800	2.661412	0	12.904556	2.499460	3.402136	3.204010	4.970562	1.750099	0.713274	0	5.207982	1.954788	0.675410	8.942079	3.889490	5.220647	7.120061	8.146258	0.749444	4.175107	13.105555	1.291050	1.117237	0.502344	2.158318	7.552852	2.624800	2.846509	0	6.495039	2.085301	0.751647	1.427830	6.461519	0.595580	8.494290	0.010940	0.035410	0.833350	6.704394	3.593970	0	0.294723	2.183310	0	0.200380	7.046956	0	5.285011	1.904171	11.134218	0.118870	1.124647	0.495331	5.358099	5.815577	12.718553	1.976934	6.634440	11.286346	4.608032	2.210329	0.919520	0.741936	2.311533	1.390570	2.134920	0.652134	1.524122	0.953581	0	2.791099	11.843061	5.417511	6.295937	1.184450	4.321805	3.154920	3.046111	3.015372	0.593803	10.171407	4.864047	0.261173	1.914191	4.422542	3.479211	0.239309	1.352574	2.533540	2.651131	2.395250	3.332191	2.413363	12.773151	4.211679	10.479627	9.362264	3.700725	0	1.908659	6.001580	2.574298	8.020192	2.592545	0.209260	2.939884	7.123893	1.080610	0.169283	1.375661	2.917978	2.917386	4.680502	7.907425	2.095608	2.251342	4.996941	3.603983	2.799462	0.765139	0	8.644069	0.201107	5.205436	17.411582	4.834349	0	1.148523	0.895317	20.015482	0.723410	2.943980	2.988958	11.501220	11.694934	5.506480	6.126321	9.396843	8.800511	2.351040	12.946627	8.500729	4.966908	2.416206	3.756414	0	5.593663	3.834030	16.019383	0	3.575550	0	3.386980	6.573707	0
s__Faecalicatena_orotica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Faecalicoccus_pleomorphus	0.150564	0	0	0	0	0	0	0	0	0	0.001000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212190	0.088156	0	0	0	0	0	0.039948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034160	0	0	0	0	0	0.053442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014750	0	0	0	0	0	0	0	0	0	0	0.144360	0	0	0	0	0	0	0	0	0	0.209155	0	0	0	0	0	0	0	0	0	0	0.005000	0	0	0	0	0	0	0	0	0	0.055502	0	0	0	0.734403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Faecalitalea_cylindroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.799178	0	0	0	0	0	0	0.219250	0	0.001810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969133	0	0	0	0	0	0	0	0.033771	0	0	0	0	0	0	0	0	0.018132	2.013614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039567	0.090420	0	0	0.004981	0	0.154330	0	0	0	0	0	0.005770	0	0	0	0	0	0	0.004034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190711	0	0	0	0	0	0	0	0	0	0	0.059590	0	0	0	0	0.288680	0	0	0	0	0	0	0	0	0	0.093466	0	0	0.002780	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048291	0	0	0	1.159710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051724	0	0	0	0	0	0	0	0	0	0	0	0
s__Filifactor_alocis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018300	0	0	0	0	0	0
s__Finegoldia_magna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_110	0	0	0	0	0	0	0	0	0.210087	0.000590	0	0	0	0	0	0	0.052077	0	0	0	0	0.016280	0	0.326162	0	0	0	0	0	0.043690	0	0.015402	0	0.003130	0.028781	0	0.234513	0	0.038573	0	0	0	0	0	0	2.292420	0	0	0	0	0	0	0	0	0.002030	0	0.018211	0.050240	0	0	0.041310	0	0	0	0	0	0	0	0	0.305946	0	1.341692	0	0	0	0	0	0	0	0	0.021642	0	0	0	0	0.165390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227750	0.007371	0	0	0	0	0.022781	0	0	0.251420	0.012762	0	0	0	0	0	0	0	0	0	0	0.083337	0	2.364949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814554	0	0.277201	0	0	0	0	0	0	0	0	0.284464	0	0	0	0	0	0	0	0	0.671363	0	0	0.001980	0	0	0	0	0	0.071691	0	0.109103	0	0	0	0	0	0	0	0.169090	0.389731	0	0	0	1.161200	0	0	0	0	0	0	0	0	0	0	0	0	0.031200	0	0	0	0.000940	0	0	0	0	0	0	0	0	0	0	0	0	0	10.498777	0.079052	0	0	0	0.493700	0.032180	0	0	0	0	0	0	0	0	0.315212	0.267795	0	0	0	1.069850	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_145	0	0.001490	0.028221	0	0	0	0.003720	0	0.086913	0	0	0	0	0	0.674280	0	0	0	0	0	0	0.000600	0.038295	0.009992	0	0	0.360235	0	0	0	0	0	0	0	0	0.029704	0	0	0	0	0	0	0	0	0	0.070200	0	0	0	0.024421	0	0.029216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010180	0	0	0	0	0	0	0	0.102550	0	0	0	0	0	0	0	0.042438	0.020860	0	0	0	0	0.070112	0	0	0	0	0	0	0	0.039320	0.007531	0	0.054900	0	0	0.010370	0	0	0	0	0	0	0	0	0	0	0.004780	0.064690	0.003560	0	0	0	0	0	0.181010	0	0	0	0	0	0	0	0	0	0	0	0	0.013930	0	0.021680	0	0	0.038786	0	0	0	0.009735	0	0	0	0.019031	0.043420	0.024321	0.011451	0.026790	0.178655	0	0	0	0.017721	0	0.038020	0.048561	0.021310	0.141610	0	0	0.003440	0	0	0.065254	0	0	0	0	0.041980	0	0	0.001090	0	0	0	0	0	0	0	0.000540	0	0	0	0	0.020540	0	0	0.042420	0.094246	0.026132	0	0	0	0	0.596175	0	0	0	0	0	0.078175	0	0	0	0.053659	0.031694	0	0	0	0	0	0	0	0	0	0.036309	0	0.004400	0	0.012730	0	0	0	0.013396	0.118850	0.000700	0.006711	0	0	0	0.109530	0	0	0	0.069945	0	0.006500	0
s__Firmicutes_bacterium_CAG_170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037790	0	0	0	0	0	0	1.508401	0	0	0	0	0	0	0	0.044205	0	0	0	0	0.085085	0	0.000460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006830	0	0	0	0	0	0	0.289630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025224	0	0	0	0	0	0	0	0	0	0	0.153626	0	0.552366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.295461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.686722	0	0	0	0	0	0	0	0	0	0	0	0	2.720852	0.307576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.332695	0	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017153	0	0	0	0	0	0	0	0	0	0	0	0	0.001211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002960
s__Firmicutes_bacterium_CAG_534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007137	0	0.288243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709670	0	0	0	0	0	0	0.016077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.810538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002660	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Firmicutes_bacterium_CAG_83	0	0.248536	0.232939	0.030191	0.002630	0	0	0.512463	0	0	0.155864	0.093796	0.027050	0	0.478940	0	0.080753	0.115940	0	0	0	0	0.274082	0.517503	0.074760	0.140592	0	0	0	0	1.323876	0.029023	0	0.006251	0.041731	0	0.111910	0	0.025532	0	0	0.003920	0.457663	0	0	0	0	0	0	0.033395	0.145383	0.825409	0	0.134010	0.095117	0	0	0.010470	0	0	0.005130	0	0	0.838961	0.000370	0.050420	0.720100	0	0.495740	0	0.132450	0.037062	0	0.116122	0	0	0.063442	0.142322	2.102520	0	0.015242	0.145964	0	0.780405	0.053563	0.013380	0.147648	0.388170	0	0.061152	0.261502	0	0.257398	0	0.193210	0.198390	0.444005	0.320671	0	0	0.318600	0	0	0.307651	0.094880	0	0.212588	0	0	0.029208	0.482858	0	0.360802	0	0.120766	0.002001	0	0	0	0	0.912810	0.010832	0	0.016771	0	0.845520	0	0	0	0.059936	0	0	0.010031	0	0	0	0.163659	0	0.596693	0.183890	0.047160	0	0.167563	0.389384	0	0.386572	0.253445	0.659216	0	0.384371	0	0.008651	0.127890	0.738925	0.160768	0.023150	3.089917	0	0	0	0	0	0.593330	0.095012	0.849523	0.768830	0.112696	0	0.022080	0.017816	0	0.679318	1.945777	0	0.072172	0	0.031850	0	0.042170	0.025010	0.104540	0	0	0.009492	0.201896	0.011340	0	0	0.163354	0	0.118177	0.598312	0.546160	0.168222	0	0	0	0	0.098710	0	0.021000	0.189764	1.303512	0.231981	0.006820	0.022251	0.001583	0	0.658775	0	0	0	0.586520	3.928075	0.107753	0.337910	0	0	0.225036	0.055591	1.187800	0.145030	0	0.511555	0.614220	0.515420	0.193980	0.423840	0	0.050540	0.012020	0.296180	0	0	0.253304	0	0	0.142989	0.443970	0.098540	0	0	0.177024	0	0.088494	0
